怪物ID	地图组	地图号	怪物类型	怪物名称	主要专属	基础分母	人物倍数	有效单杀概率	大陆材料	任务材料	说明
EL-MON-C01-G01-N01	失乡者海岸	XX113	normal	盐蚀流民	盐蚀弯刃	1800	5	0.002777777777777778	海蚀铁片 1/75		制式装备随机池沿用现有文件
EL-MON-C01-G01-N02	失乡者海岸	XX113	normal	断桨弩手	断桨骨链	1800	5	0.002777777777777778	海蚀铁片 1/75		制式装备随机池沿用现有文件
EL-MON-C01-G01-N03	失乡者海岸	XX113、XX112	normal	漂流尸兵	漂流尸甲	1800	5	0.002777777777777778	海蚀铁片 1/75		制式装备随机池沿用现有文件
EL-MON-C01-G01-N04	失乡者海岸	XX112	normal	失乡猎犬	猎犬骨戒	1800	5	0.002777777777777778	海蚀铁片 1/75		制式装备随机池沿用现有文件
EL-MON-C01-G01-N05	失乡者海岸	XX112、XX330	normal	腐潮巨蟹	腐潮钳镯	1800	5	0.002777777777777778	海蚀铁片 1/75		制式装备随机池沿用现有文件
EL-MON-C01-G01-R01	失乡者海岸	XX113、XX112	rare	铁锚行刑者	行刑锚刃	600	5	0.008333333333333333	潮痕结晶 1/75	锈锚魂魄 1/50	制式装备随机池沿用现有文件
EL-MON-C01-G01-R02	失乡者海岸	XX112	rare	唤潮祷师	唤潮旧勋	600	5	0.008333333333333333	潮痕结晶 1/75		制式装备随机池沿用现有文件
EL-MON-C01-G01-R03	失乡者海岸	XX112、XX330	rare	沉船守财者	沉金铁盔	600	5	0.008333333333333333	潮痕结晶 1/75	沉金魂魄 1/60	制式装备随机池沿用现有文件
EL-MON-C01-G01-R04	失乡者海岸	XX330	rare	海雾骑士	海雾塔盾	600	5	0.008333333333333333	潮痕结晶 1/75		制式装备随机池沿用现有文件
EL-MON-C01-G01-B01	失乡者海岸	XX112	boss	断桅船长·赫恩	断桅血刃	120	5	0.041666666666666664	海蚀铁片 1/30；潮痕结晶 1/20	船长残魂 1/20	制式装备随机池沿用现有文件
EL-MON-C01-G01-B02	失乡者海岸	XX330	boss	吞岸巨兽·格拉姆	吞岸重甲	120	5	0.041666666666666664	海蚀铁片 1/30；潮痕结晶 1/20	吞岸王魂 1/25	制式装备随机池沿用现有文件
EL-MON-C01-G02-N01	风暴断崖	XX327、XX328、XX329、XX106	normal	风蚀守卫	风蚀盔	1800	5	0.002777777777777778	海蚀铁片 1/75		制式装备随机池沿用现有文件
EL-MON-C01-G02-N02	风暴断崖	XX327、XX328、XX329、XX106	normal	断崖弩手	鹰眼链	1800	5	0.002777777777777778	海蚀铁片 1/75		制式装备随机池沿用现有文件
EL-MON-C01-G02-N03	风暴断崖	XX327、XX328、XX329、XX106	normal	雷羽鹰	雷羽护腕	1800	5	0.002777777777777778	海蚀铁片 1/75		制式装备随机池沿用现有文件
EL-MON-C01-G02-N04	风暴断崖	XX328、XX329、XX106	normal	狂风战奴	狂风骨戒	1800	5	0.002777777777777778	海蚀铁片 1/75		制式装备随机池沿用现有文件
EL-MON-C01-G02-N05	风暴断崖	XX328、XX329、XX106	normal	坠崖亡兵	断崖束带	1800	5	0.002777777777777778	海蚀铁片 1/75		制式装备随机池沿用现有文件
EL-MON-C01-G02-N06	风暴断崖	XX329、XX106	normal	崖穴石蜥	石蜥面巾	1800	5	0.002777777777777778	海蚀铁片 1/75		制式装备随机池沿用现有文件
EL-MON-C01-G02-R01	风暴断崖	XX327、XX328	rare	逐雷骑士	逐雷战靴	600	5	0.008333333333333333	潮痕结晶 1/75	逐雷魂印 1/80	制式装备随机池沿用现有文件
EL-MON-C01-G02-R02	风暴断崖	XX328、XX329	rare	风暴祭司	风暴勋章	600	5	0.008333333333333333	潮痕结晶 1/75		制式装备随机池沿用现有文件
EL-MON-C01-G02-R03	风暴断崖	XX329、XX106	rare	裂岩巨人	裂岩巨盾	600	5	0.008333333333333333	潮痕结晶 1/75	裂岩之心 1/100	制式装备随机池沿用现有文件
EL-MON-C01-G02-R04	风暴断崖	XX106	rare	黑翼猎杀者	黑翼灵玉	600	5	0.008333333333333333	潮痕结晶 1/75		制式装备随机池沿用现有文件
EL-MON-C01-G02-B01	风暴断崖	XX329	boss	风暴执刑官·巴鲁克	执刑雷刃	120	5	0.041666666666666664	海蚀铁片 1/30；潮痕结晶 1/20	执刑官残魂 1/20	制式装备随机池沿用现有文件
EL-MON-C01-G02-B02	风暴断崖	XX106	boss	断崖古龙·赛尔	古龙风铠	120	5	0.041666666666666664	海蚀铁片 1/30；潮痕结晶 1/20	古龙逆鳞 1/25	制式装备随机池沿用现有文件
EL-MON-C01-G03-N01	沉没王庭	XX102、XX103、XX104	normal	溺亡禁卫	溺亡王盔	1800	5	0.002777777777777778	海蚀铁片 1/75		制式装备随机池沿用现有文件
EL-MON-C01-G03-N02	沉没王庭	XX102、XX103、XX104	normal	沉宫侍从	沉宫项链	1800	5	0.002777777777777778	海蚀铁片 1/75		制式装备随机池沿用现有文件
