功能ID,名称,平台版本,正式服版本,版本漂移,平台状态,常驻性,套件,依赖,标签,变量,当前状态,游戏证据,全部证据,母库路径
xy.combat-suite,战斗附加属性整套,1.3.3,,否,candidate,optional,combat-suite,xy.combat.power | xy.combat.pve | xy.combat.blast | xy.combat.drop | xy.combat.execute | xy.combat.corpse | xy.combat.damage-coefficient | xy.combat.monster-damage-absorb | xy.combat.sustain,,,已写入文件,,bundle:contains-candidate-modules,E:\XuanYuanDevPlatform\packages\candidate\xy.combat-suite
xy.combat.blast,暴击伤害重算,1.1.1,1.1.1,否,verified,resident,combat-suite,xy.combat.core | xy.combat.runtime-refresh,XYDP_RecalcBlast,N$XY_最终爆伤 | N$XY_Bind31Point | N$XY_Bind31Rate,游戏内实测通过,game:../xy.combat.runtime-refresh/evidence/20260711_game_acceptance.md | runtime:D:/MirServer/Mir200/Envir/QuestDiary/玄渊验收/events.txt,game:../xy.combat.runtime-refresh/evidence/20260711_game_acceptance.md | runtime:D:/MirServer/Mir200/Envir/QuestDiary/玄渊验收/events.txt | source:XY-SKILL-017,E:\XuanYuanDevPlatform\packages\verified\xy.combat.blast
xy.combat.core,战斗附加属性公共契约,1.2.0,1.2.0,否,verified,resident,combat-suite,,,,已部署待实测,,static:equipment_contract | source:XY-SKILL-028 | platform:event-bootstrap-contract,E:\XuanYuanDevPlatform\packages\verified\xy.combat.core
xy.combat.corpse,鞭尸概率,1.0.0,1.0.0,否,candidate,resident,combat-suite,xy.combat.core,,N$XY_CorpsePoint | N$XY_CorpseRate | N$XY_CorpseRoll,已部署待实测,,tool-test:20260703_1541 | game-validation:required,E:\XuanYuanDevPlatform\packages\candidate\xy.combat.corpse
xy.combat.damage-coefficient,伤害系数独立乘区,1.0.0,1.0.0,否,verified,resident,combat-suite,xy.combat.runtime-refresh,,N$XY_RT_DamageCoeff | N$XY_DC_FinalPower,游戏内实测通过,game:evidence/20260725_game_acceptance.md,game:evidence/20260725_game_acceptance.md | formula:power-times-damage-coefficient-div-100 | rejected:powerrate-type1-type2-overwrites-power,E:\XuanYuanDevPlatform\packages\verified\xy.combat.damage-coefficient
xy.combat.drop,人物爆率与最大爆率,1.2.0,1.2.0,否,verified,resident,combat-suite,xy.combat.core | xy.combat.runtime-refresh,XYDP_RecalcDrop,N$XY_最终爆率 | N$XY_最大爆率 | N$XY_DropFinal | N$XY_Bind14Point | N$XY_Bind14Rate | N$XY_Bind20Point | N$XY_Bind20Rate,游戏内实测通过,game:evidence/20260719_36x_game_acceptance.md | game:../xy.combat.runtime-refresh/evidence/20260711_game_acceptance.md,game:evidence/20260719_36x_game_acceptance.md | game:../xy.combat.runtime-refresh/evidence/20260711_game_acceptance.md | runtime:XY-CUSTOM-ATTR-RECALC-001 | source:XY-SKILL-009,E:\XuanYuanDevPlatform\packages\verified\xy.combat.drop
xy.combat.execute,首刀与尾刀累计斩杀,1.0.1-candidate.1,1.0.1-candidate.1,否,candidate,resident,combat-suite,xy.combat.core | xy.combat.pve,,,已部署待实测,,tool-test:20260703_1636 | game-validation:required,E:\XuanYuanDevPlatform\packages\candidate\xy.combat.execute
xy.combat.monster-damage-absorb,对怪伤害吸收与上限,1.0.0,1.0.0,否,verified,resident,combat-suite,xy.combat.core,XYDP_RecalcMonsterAbsorb | XYDP_MonsterAbsorbTick,N$XY_MDA_Raw | N$XY_MDA_CapBonus | N$XY_MDA_Cap | N$XY_MDA_Final | N$XY_MDA_TimerActive | N$XY_MDA_TimerLoop,游戏内实测通过,game:evidence/20260725_game_acceptance.md,"game:evidence/20260725_game_acceptance.md | formula:min(raw,60+min(cap_bonus,25)) | engine:StruckDamageAbsorb-monster-only | probe:one-percent-one-second-clears-previous-state",E:\XuanYuanDevPlatform\packages\verified\xy.combat.monster-damage-absorb
xy.combat.power,神力倍数与打怪显示重算,1.1.1,1.1.1,否,verified,resident,combat-suite,xy.combat.core | xy.combat.runtime-refresh,XYDP_RecalcPower,N$倍攻 | N$XY_PVE | N$XY_Bind21Point | N$XY_Bind21Rate | N$XY_Bind22Point | N$XY_Bind22Rate,游戏内实测通过,game:../xy.combat.runtime-refresh/evidence/20260711_game_acceptance.md | runtime:D:/MirServer/Mir200/Envir/QuestDiary/玄渊验收/events.txt,game:../xy.combat.runtime-refresh/evidence/20260711_game_acceptance.md | runtime:D:/MirServer/Mir200/Envir/QuestDiary/玄渊验收/events.txt | source:XY-SKILL-012,E:\XuanYuanDevPlatform\packages\verified\xy.combat.power
xy.combat.pve,打怪伤害（ChangeDamageValue路线）,1.0.1,1.0.1,否,verified,resident,combat-suite,xy.combat.power,,N$XY_PVE_Point | N$XY_PVE_Rate | N$XY_PVE_Extra | N$XY_PVE_Damage | N$XY_FirstKillRate | N$XY_TailKillRate,已部署待实测,,runtime:XY-PVE-DAMAGEFIX-001 | source:XY-SKILL-011,E:\XuanYuanDevPlatform\packages\verified\xy.combat.pve
