文件,类型,功能ID,事件或标签,起始行
Mir200\Envir\MapQuest_Def\QManage.txt,HOOK,xy.lab.seal-title-v2,Login,2
Mir200\Envir\MapQuest_Def\QManage.txt,HOOK,xy.ui.attr-overview,MAIN1,15
Mir200\Envir\MapQuest_Def\QManage.txt,HOOK,xy.native.auto-basic-skills,MAIN1,53
Mir200\Envir\Market_Def\QFunction-0.txt,HOOK,xy.native.auto-basic-skills,PLAYLEVELUP,314
Mir200\Envir\Market_Def\QFunction-0.txt,HOOK,xy.optional.rage.core,PlayDie,398
Mir200\Envir\Market_Def\QFunction-0.txt,HOOK,xy.ui.attr-overview,PlayDie,453
Mir200\Envir\Market_Def\QFunction-0.txt,EVENT-STUB,xy.combat.core,PlayLogin,561
Mir200\Envir\Market_Def\QFunction-0.txt,HOOK,xy.optional.recycle.configurable,PlayLogin,563
Mir200\Envir\Market_Def\QFunction-0.txt,HOOK,xy.combat.blast,PlayLogin,573
Mir200\Envir\Market_Def\QFunction-0.txt,HOOK,xy.combat.drop,PlayLogin,578
Mir200\Envir\Market_Def\QFunction-0.txt,HOOK,xy.combat.power,PlayLogin,583
Mir200\Envir\Market_Def\QFunction-0.txt,HOOK,xy.ui.attr-overview,PlayLogin,588
Mir200\Envir\Market_Def\QFunction-0.txt,HOOK,xy.combat.monster-damage-absorb,PlayLogin,639
Mir200\Envir\Market_Def\QFunction-0.txt,HOOK,xy.combat.sustain,PlayLogin,646
Mir200\Envir\Market_Def\QFunction-0.txt,EVENT-STUB,xy.combat.core,TakeOnEx,657
Mir200\Envir\Market_Def\QFunction-0.txt,HOOK,xy.combat.blast,TakeOnEx,665
Mir200\Envir\Market_Def\QFunction-0.txt,HOOK,xy.combat.drop,TakeOnEx,670
Mir200\Envir\Market_Def\QFunction-0.txt,HOOK,xy.combat.power,TakeOnEx,675
Mir200\Envir\Market_Def\QFunction-0.txt,HOOK,xy.ui.attr-overview,TakeOnEx,680
Mir200\Envir\Market_Def\QFunction-0.txt,HOOK,xy.combat.monster-damage-absorb,TakeOnEx,692
Mir200\Envir\Market_Def\QFunction-0.txt,HOOK,xy.combat.sustain,TakeOnEx,697
Mir200\Envir\Market_Def\QFunction-0.txt,EVENT-STUB,xy.combat.core,TakeOffEx,708
Mir200\Envir\Market_Def\QFunction-0.txt,HOOK,xy.combat.blast,TakeOffEx,716
Mir200\Envir\Market_Def\QFunction-0.txt,HOOK,xy.combat.drop,TakeOffEx,721
Mir200\Envir\Market_Def\QFunction-0.txt,HOOK,xy.combat.power,TakeOffEx,726
Mir200\Envir\Market_Def\QFunction-0.txt,HOOK,xy.ui.attr-overview,TakeOffEx,731
Mir200\Envir\Market_Def\QFunction-0.txt,HOOK,xy.combat.monster-damage-absorb,TakeOffEx,743
Mir200\Envir\Market_Def\QFunction-0.txt,HOOK,xy.combat.sustain,TakeOffEx,748
Mir200\Envir\Market_Def\QFunction-0.txt,EVENT-STUB,xy.combat.core,AttackDamage,759
Mir200\Envir\Market_Def\QFunction-0.txt,HOOK,xy.combat.runtime-refresh,AttackDamage,761
Mir200\Envir\Market_Def\QFunction-0.txt,ANCHOR-HOOK,xy.optional.equipment-collection,XY_EQUIP_MAKER_RUNTIME_POWER_ANCHOR,769
Mir200\Envir\Market_Def\QFunction-0.txt,ANCHOR-HOOK,xy.initial-camp.seven-npcs,XY_EQUIP_MAKER_RUNTIME_POWER_ANCHOR,827
Mir200\Envir\Market_Def\QFunction-0.txt,ANCHOR-HOOK,xy.lab.seal-title-v2,XY_EQUIP_MAKER_RUNTIME_DROP_ANCHOR,1981
Mir200\Envir\Market_Def\QFunction-0.txt,ANCHOR-HOOK,xy.optional.equipment-collection,XY_EQUIP_MAKER_RUNTIME_DROP_ANCHOR,2023
Mir200\Envir\Market_Def\QFunction-0.txt,ANCHOR-HOOK,xy.initial-camp.seven-npcs,XY_EQUIP_MAKER_RUNTIME_DROP_ANCHOR,2060
Mir200\Envir\Market_Def\QFunction-0.txt,ANCHOR-HOOK,xy.optional.rage.core,XY_EQUIP_MAKER_RUNTIME_DROP_ANCHOR,2082
Mir200\Envir\Market_Def\QFunction-0.txt,ANCHOR-HOOK,xy.initial-camp.seven-npcs,XY_EQUIP_MAKER_RUNTIME_DROP_MAX_ANCHOR,2125
Mir200\Envir\Market_Def\QFunction-0.txt,ANCHOR-HOOK,xy.optional.rage.core,XY_EQUIP_MAKER_RUNTIME_DROP_MAX_ANCHOR,2147
Mir200\Envir\Market_Def\QFunction-0.txt,ANCHOR-HOOK,xy.combat.damage-coefficient,XY_DAMAGE_COEFFICIENT_PACKAGE_ANCHOR,2155
Mir200\Envir\Market_Def\QFunction-0.txt,ANCHOR-HOOK,xy.optional.equipment-collection,XY_EQUIP_MAKER_RUNTIME_DAMAGE_COEFFICIENT_ANCHOR,2160
Mir200\Envir\Market_Def\QFunction-0.txt,ANCHOR-HOOK,xy.initial-camp.seven-npcs,XY_EQUIP_MAKER_RUNTIME_DAMAGE_COEFFICIENT_ANCHOR,2232
Mir200\Envir\Market_Def\QFunction-0.txt,HOOK,xy.ui.attr-overview,AttackDamage,2273
Mir200\Envir\Market_Def\QFunction-0.txt,HOOK,xy.combat.pve,AttackDamage,2280
Mir200\Envir\Market_Def\QFunction-0.txt,ANCHOR-HOOK,xy.optional.equipment-collection,XY_EQUIP_MAKER_ATTACK_ANCHOR,2298
Mir200\Envir\Market_Def\QFunction-0.txt,HOOK,xy.combat.execute,AttackDamage,3680
Mir200\Envir\Market_Def\QFunction-0.txt,ANCHOR-HOOK,xy.initial-camp.seven-npcs,XY_EXECUTION_LAB_CHANCE_ANCHOR,3767
Mir200\Envir\Market_Def\QFunction-0.txt,EVENT-STUB,xy.combat.core,KillMon,3987
Mir200\Envir\Market_Def\QFunction-0.txt,HOOK,xy.combat.corpse,KillMon,3989
Mir200\Envir\Market_Def\QFunction-0.txt,HOOK,xy.ui.attr-overview,KillMon,4093
Mir200\Envir\Market_Def\QFunction-0.txt,ANCHOR-HOOK,xy.lab.seal-title-v2,XY_EQUIP_MAKER_DROP_ANCHOR,5224
Mir200\Envir\Market_Def\QFunction-0.txt,ANCHOR-HOOK,xy.optional.equipment-collection,XY_EQUIP_MAKER_DROP_ANCHOR,5266
Mir200\Envir\Market_Def\QFunction-0.txt,ANCHOR-HOOK,xy.initial-camp.seven-npcs,XY_EQUIP_MAKER_DROP_ANCHOR,5339
Mir200\Envir\Market_Def\QFunction-0.txt,ANCHOR-HOOK,xy.optional.rage.core,XY_EQUIP_MAKER_DROP_ANCHOR,5366
Mir200\Envir\Market_Def\QFunction-0.txt,ANCHOR-HOOK,xy.optional.equipment-collection,XY_EQUIP_MAKER_POWER_ANCHOR,5403
Mir200\Envir\Market_Def\QFunction-0.txt,ANCHOR-HOOK,xy.initial-camp.seven-npcs,XY_EQUIP_MAKER_POWER_ANCHOR,5876
Mir200\Envir\Market_Def\QFunction-0.txt,EVENT-STUB,xy.ops.first-pick,PickUpItemEX,6724
Mir200\Envir\Market_Def\QFunction-0.txt,HOOK,xy.ops.first-pick,PickUpItemEX,6726
Mir200\Envir\Market_Def\QFunction-0.txt,HOOK,xy.optional.recycle.configurable,PickUpItemEX,6732
Mir200\Envir\Market_Def\QFunction-0.txt,HOOK,xy.optional.recycle.configurable,CustomButtonClick,22441
Mir200\Envir\Market_Def\QFunction-0.txt,HOOK,xy.optional.storage.bag-entry,CustomButtonClick,22448
Mir200\Envir\Market_Def\QFunction-0.txt,HOOK,xy.optional.bag.function-service,CustomButtonClick,22455
Mir200\Envir\Market_Def\QFunction-0.txt,HOOK,xy.ui.attr-overview,CustomButtonClick,22462
Mir200\Envir\Market_Def\QFunction-0.txt,ANCHOR-HOOK,xy.quest.drifting-islands-souls,XY_EXECUTION_LAB_TOUGHNESS_ANCHOR,26669
Mir200\Envir\Market_Def\QFunction-0.txt,ANCHOR-HOOK,xy.initial-camp.seven-npcs,XY_EXECUTION_LAB_TOUGHNESS_ANCHOR,26684
Mir200\Envir\Market_Def\QFunction-0.txt,EVENT-STUB,xy.ui.attr-overview,Revival,27016
Mir200\Envir\Market_Def\QFunction-0.txt,HOOK,xy.ui.attr-overview,Revival,27018
Mir200\Envir\Market_Def\QFunction-0.txt,EVENT-STUB,xy.ui.attr-overview,NpcRevival,27028
Mir200\Envir\Market_Def\QFunction-0.txt,HOOK,xy.ui.attr-overview,NpcRevival,27030
Mir200\Envir\Market_Def\QFunction-0.txt,EVENT-STUB,xy.ui.attr-overview,ButtonClick89,27040
Mir200\Envir\Market_Def\QFunction-0.txt,HOOK,xy.ui.attr-overview,ButtonClick89,27042
Mir200\Envir\Market_Def\QFunction-0.txt,EVENT-STUB,xy.ui.attr-overview,ButtonClick90,27052
Mir200\Envir\Market_Def\QFunction-0.txt,HOOK,xy.ui.attr-overview,ButtonClick90,27054
Mir200\Envir\Market_Def\QFunction-0.txt,EVENT-STUB,xy.ui.attr-overview,ButtonClick91,27064
Mir200\Envir\Market_Def\QFunction-0.txt,HOOK,xy.ui.attr-overview,ButtonClick91,27066
Mir200\Envir\Market_Def\QFunction-0.txt,EVENT-STUB,xy.ui.attr-overview,ButtonClick92,27076
Mir200\Envir\Market_Def\QFunction-0.txt,HOOK,xy.ui.attr-overview,ButtonClick92,27078
Mir200\Envir\Market_Def\QFunction-0.txt,EVENT-STUB,xy.ui.attr-overview,ButtonClick93,27088
Mir200\Envir\Market_Def\QFunction-0.txt,HOOK,xy.ui.attr-overview,ButtonClick93,27090
Mir200\Envir\Market_Def\QFunction-0.txt,EVENT-STUB,xy.ui.attr-overview,CloseClientBuff190,27100
Mir200\Envir\Market_Def\QFunction-0.txt,HOOK,xy.ui.attr-overview,CloseClientBuff190,27102
Mir200\Envir\Market_Def\QFunction-0.txt,EVENT-STUB,xy.ui.attr-overview,ClientBuffClick190,27112
Mir200\Envir\Market_Def\QFunction-0.txt,HOOK,xy.ui.attr-overview,ClientBuffClick190,27114
Mir200\Envir\Market_Def\QFunction-0.txt,HOOK,xy.combat.sustain,Attack,28027
Mir200\Envir\Market_Def\玄渊NPC\神树赐福-XY_NMGF_MAIN.txt,FILE,xy.lab.seal-title-v2,title-self-contained,1
Mir200\Envir\Market_Def\玄渊成长\神印修行-XY_NMGF_MAIN.txt,FILE,xy.lab.seal-title-v2,seal-self-contained,1
Mir200\Envir\QuestDiary\玄渊功能\狂暴\狂暴界面刷新接口.txt,HOOK,xy.ui.attr-overview,XY_RAGE_UI_REFRESH,4
Mir200\Envir\QuestDiary\玄渊功能\非常驻\属性总览\玄渊三属性按钮.txt,ANCHOR-HOOK,xy.optional.equipment-collection,XY_EQUIPMENT_COLLECTION_DAMAGE_COEFFICIENT_DISPLAY_ANCHOR,126
Mir200\Envir\QuestDiary\玄渊成长\神印与称号\神印基础核心.txt,FILE,xy.lab.seal-title-v2,seal-core,1
Mir200\Envir\QuestDiary\玄渊成长\神印与称号\称号晋升核心.txt,FILE,xy.lab.seal-title-v2,title-core,1
