功能ID,名称,平台版本,正式服版本,版本漂移,平台状态,常驻性,套件,依赖,标签,变量,当前状态,游戏证据,全部证据,母库路径
xy.combat.core,战斗附加属性公共契约,1.2.0,1.2.0,否,verified,resident,combat-suite,,,,已部署待实测,,static:equipment_contract | source:XY-SKILL-028 | platform:event-bootstrap-contract,E:\XuanYuanDevPlatform\packages\verified\xy.combat.core
xy.combat.corpse,鞭尸概率,1.0.0,1.0.0,否,candidate,resident,combat-suite,xy.combat.core,,N$XY_CorpsePoint | N$XY_CorpseRate | N$XY_CorpseRoll,已部署待实测,,tool-test:20260703_1541 | game-validation:required,E:\XuanYuanDevPlatform\packages\candidate\xy.combat.corpse
xy.combat.execute,首刀与尾刀累计斩杀,1.0.1-candidate.1,1.0.1-candidate.1,否,candidate,resident,combat-suite,xy.combat.core | xy.combat.pve,,,已部署待实测,,tool-test:20260703_1636 | game-validation:required,E:\XuanYuanDevPlatform\packages\candidate\xy.combat.execute
xy.combat.pve,打怪伤害（ChangeDamageValue路线）,1.0.1,1.0.1,否,verified,resident,combat-suite,xy.combat.power,,N$XY_PVE_Point | N$XY_PVE_Rate | N$XY_PVE_Extra | N$XY_PVE_Damage | N$XY_FirstKillRate | N$XY_TailKillRate,已部署待实测,,runtime:XY-PVE-DAMAGEFIX-001 | source:XY-SKILL-011,E:\XuanYuanDevPlatform\packages\verified\xy.combat.pve
xy.combat.sustain,百分比吸血与每秒回血,1.2.0-candidate.1,1.2.0-candidate.1,否,candidate,resident,combat-suite,,XYDP_RecalcSustain | OnTimer19,N$XY_SUS_LifeSteal | N$XY_SUS_LifeStealHeal | N$XY_SUS_HPActive,已部署待实测,game:golden-relic-lv8-direct-regen-passed | evidence:game_acceptance_20260729.json,reference:mingyue-Attack-pve-PKPOWER-CalcPercent-HumanHP | engine:Attack-CHECKCURRTARGETRACE-PKPOWER-CalcPercent-HumanHP | engine:SetOnTimer-0-255-seconds | engine:HumanHP-fixed-heal | static:equipment-sustain-contract | game:golden-relic-lv8-direct-regen-passed | evidence:game_acceptance_20260729.json | pending:generic-regression-and-lifesteal-acceptance,E:\XuanYuanDevPlatform\packages\candidate\xy.combat.sustain
xy.initial-camp.seven-npcs,xy.initial-camp.seven-npcs,,1.3.0-candidate.1,母库缺失,收据记录,未知,,,,,已部署待实测,,,
xy.item.super-blessing-oil,超级祝福油,1.0.0-candidate.1,1.0.0-candidate.1,否,candidate,optional,single-item,,StdModeFunc82,,已部署待实测,,history:20260716_2132-super-blessing-oil | fix:20260717_1041-StdMode31-Shape0 | reference:mingyue-StdModeFunc82 | static:current-server-Anicount82-and-label-free | game-validation:required | rollback:required,E:\XuanYuanDevPlatform\packages\candidate\xy.item.super-blessing-oil
xy.lab.donate.one-time,xy.lab.donate.one-time,,1.0.0-candidate.1,母库缺失,收据记录,未知,,,,,已部署待实测,,,
xy.lab.seal-title-v2,xy.lab.seal-title-v2,,2.1.0-candidate.2,母库缺失,收据记录,未知,,,,,已部署待实测,,,
xy.native.auto-basic-skills,升级自动修炼三级基础技能,1.0.0-candidate.1,1.0.0-candidate.1,否,candidate,resident,native-base,,,,已部署待实测,,source:D:/codex交班记录/20260716_1927_修复技能强化三重并接入升级触发.txt | runtime:m2-load-script-error-0 | contract:normal-skill-level-parameter-0 | game:level-up-immediate-grant-pending,E:\XuanYuanDevPlatform\packages\candidate\xy.native.auto-basic-skills
