源文件,服务端相对路径,大小,修改时间,SHA256,识别编码,标签数,重复标签,CALL数
D:\MirServer\Mir200\Envir\EffectImageList.txt,Mir200\Envir\EffectImageList.txt,243,2026-08-14T12:02:12,2d452733d98cbb1cec86f616b9a48cb3ea02962111c4267f4cd0db40ed499682,utf-8-sig,0,,0
D:\MirServer\Mir200\Envir\MapQuest_Def\QManage.txt,Mir200\Envir\MapQuest_Def\QManage.txt,257420,2026-08-14T22:52:53,8a9dabad3432eeebd1e524ce742fe625f940f9cf555bcf7a33844c015f63e8e3,gb18030,13,,19
D:\MirServer\Mir200\Envir\Market_Def\QFunction-0.txt,Mir200\Envir\Market_Def\QFunction-0.txt,968181,2026-08-16T19:43:23,285a08dc16ab3bec6403755f73ceddb0ffd7777ee498098ca7ffc6b512609d19,gb18030,511,,24
D:\MirServer\Mir200\Envir\Market_Def\玄渊NPC\传送阵-XX105.txt,Mir200\Envir\Market_Def\玄渊NPC\传送阵-XX105.txt,153,2026-08-08T14:56:44,f4a64d3430607cc86365524de419200c5f935784d13bb3e362c45e543c15bde5,gb18030,1,,0
D:\MirServer\Mir200\Envir\Market_Def\玄渊NPC\关卡前废墟传送员-XY_NMGF_MAIN.txt,Mir200\Envir\Market_Def\玄渊NPC\关卡前废墟传送员-XY_NMGF_MAIN.txt,124,2026-08-08T19:19:37,7dec0ebe7e949ed8e96cbe49f0c078a8afa83fba6483b841baa312c768127354,gb18030,2,,0
D:\MirServer\Mir200\Envir\Market_Def\玄渊NPC\史东薇尔王城传送员-XY_NMGF_MAIN.txt,Mir200\Envir\Market_Def\玄渊NPC\史东薇尔王城传送员-XY_NMGF_MAIN.txt,128,2026-08-08T19:19:37,61b2f0ffc35aa1ab93701640daaa57f0d7db36f2f3efdd3fa8e9d0fdfcd2a48e,gb18030,2,,0
D:\MirServer\Mir200\Envir\Market_Def\玄渊NPC\失乡者海岸-XY_DRIFTING_ISLANDS.txt,Mir200\Envir\Market_Def\玄渊NPC\失乡者海岸-XY_DRIFTING_ISLANDS.txt,130,2026-08-08T14:56:44,7079964e49c4fbd62f51971f874a121861c513ed5447e41b72b9768361974985,gb18030,2,,0
D:\MirServer\Mir200\Envir\Market_Def\玄渊NPC\沉没王庭-XY_DRIFTING_ISLANDS.txt,Mir200\Envir\Market_Def\玄渊NPC\沉没王庭-XY_DRIFTING_ISLANDS.txt,124,2026-08-08T14:56:44,6cfa25a069354722381a5bd122818b4b35785e0bd79c417cecd6b6f5932e7e18,gb18030,2,,0
D:\MirServer\Mir200\Envir\Market_Def\玄渊NPC\漂流墓地传送员-XY_NMGF_MAIN.txt,Mir200\Envir\Market_Def\玄渊NPC\漂流墓地传送员-XY_NMGF_MAIN.txt,121,2026-08-08T19:19:37,0b2d63fc6d82df84b5c997ebe925b417d8ec99c32bc892ae80d410a850920383,gb18030,2,,0
D:\MirServer\Mir200\Envir\Market_Def\玄渊NPC\神树赐福-XY_NMGF_MAIN.txt,Mir200\Envir\Market_Def\玄渊NPC\神树赐福-XY_NMGF_MAIN.txt,22895,2026-08-16T21:01:22,eda5d4fad76b6dd699d21a79db41dd415b0ee520849fc86abf09149e2f7ee560,gb18030,52,,0
